model,accuracy,precision,recall,f1,runtime,roc_auc,pr_auc
Logistic Regression,0.9986655663441786,0.49586776859504134,0.8,0.6122448979591837,8.95586109161377,0.9857918117139608,0.7383951667250791
Random Forest,0.9995434832230085,0.9016393442622951,0.7333333333333333,0.8088235294117647,305.45568084716797,0.9877984457962657,0.8160548141735532
XGBoost,0.9995785998981617,0.9322033898305084,0.7333333333333333,0.8208955223880597,4.519468307495117,0.9843161386359108,0.7960611409647889
Autoencoder,0.9800361701754078,0.0009398496240601503,0.013333333333333334,0.001755926251097454,,0.4926514059331669,0.0012807138632070195
MLP,0.9993503415096658,0.7567567567567568,0.7466666666666667,0.7516778523489933,,0.9651491496419236,0.7479174750820226
Autoencoder,0.9800361701754078,0.0009398496240601503,0.013333333333333334,0.001755926251097454,,0.49233540794917774,0.0012800928082249974
MLP,0.9993152248345126,0.7727272727272727,0.68,0.723404255319149,,0.9000171126504681,0.6969970869320685
Logistic Regression,0.9986655663441786,0.49586776859504134,0.8,0.6122448979591837,6.726572751998901,0.9857918117139608,0.7383951667250791
Random Forest,0.9995434832230085,0.9016393442622951,0.7333333333333333,0.8088235294117647,304.59609031677246,0.9877984457962657,0.8160548141735532
XGBoost,0.9995785998981617,0.9322033898305084,0.7333333333333333,0.8208955223880597,3.4733986854553223,0.9843161386359108,0.7960611409647889
Autoencoder,0.9800361701754078,0.0009398496240601503,0.013333333333333334,0.001755926251097454,,0.4926514059331669,0.0012807138632070195
MLP,0.9993503415096658,0.7567567567567568,0.7466666666666667,0.7516778523489933,,0.9651491496419236,0.7479174750820226
Autoencoder,0.9800361701754078,0.0009398496240601503,0.013333333333333334,0.001755926251097454,,0.49233540794917774,0.0012800928082249974
MLP,0.9993152248345126,0.7727272727272727,0.68,0.723404255319149,,0.9000171126504681,0.6969970869320685
Logistic Regression,0.9986655663441786,0.49586776859504134,0.8,0.6122448979591837,6.990209579467773,0.9857918117139608,0.7383951667250791
Random Forest,0.9995434832230085,0.9016393442622951,0.7333333333333333,0.8088235294117647,279.36049580574036,0.9877984457962657,0.8160548141735532
XGBoost,0.9995785998981617,0.9322033898305084,0.7333333333333333,0.8208955223880597,5.448614597320557,0.9843161386359108,0.7960611409647889
Autoencoder,0.9800361701754078,0.0009398496240601503,0.013333333333333334,0.001755926251097454,,0.4926514059331669,0.0012807138632070195
MLP,0.9993503415096658,0.7567567567567568,0.7466666666666667,0.7516778523489933,,0.9651491496419236,0.7479174750820226
Autoencoder,0.9800361701754078,0.0009398496240601503,0.013333333333333334,0.001755926251097454,,0.49233540794917774,0.0012800928082249974
MLP,0.9993152248345126,0.7727272727272727,0.68,0.723404255319149,,0.9000171126504681,0.6969970869320685
